title,source_url,published_date,category,policy_impact_score,summary,last_updated
EU AI Act enters full enforcement phase with mandatory risk assessments,https://reuters.com/technology/eu-ai-act-enforcement-2026,2026-05-24,Regulation,9,The EU AI Act begins full enforcement requiring mandatory conformity assessments for high-risk AI systems.,2026-05-24 08:15
US and UK sign bilateral AI safety agreement at G7 summit,https://bbc.com/news/technology/us-uk-ai-safety-agreement-2026,2026-05-23,Diplomacy,8,The US and UK formalise a bilateral AI safety framework covering frontier model evaluations and incident sharing.,2026-05-24 08:15
China releases updated generative AI content moderation rules,https://scmp.com/news/china/article/generative-ai-content-rules-2026,2026-05-22,Regulation,7,China's Cyberspace Administration issues stricter watermarking and content labelling rules for generative AI outputs.,2026-05-24 08:15
Microsoft and Google lobby against proposed EU AI liability directive,https://ft.com/content/microsoft-google-eu-ai-liability-2026,2026-05-21,Corporate,5,Major tech firms submit joint statement opposing strict liability provisions in the proposed EU AI Liability Directive.,2026-05-24 08:15
India–ASEAN AI trade corridor announced to share open datasets,https://economictimes.com/india-asean-ai-trade-corridor-2026,2026-05-20,Trade,6,India and six ASEAN nations establish a cross-border AI data-sharing corridor to accelerate regional AI development.,2026-05-24 08:15
OpenAI partners with Novo Nordisk for AI drug discovery,https://www.mobihealthnews.com/news/openai-partners-novo-nordisk-ai-drug-discovery,2026-04-14,Corporate,2,"OpenAI and Novo Nordisk have partnered to utilize generative artificial intelligence for accelerating drug discovery and development, highlighting the growing role of AI in pharmaceutical innovation.",2026-05-24 14:02
Trump federal AI policy framework aims to undercut state laws – Computerworld,https://www.computerworld.com/article/4148254/trumps-federal-ai-policy-framework-aims-to-undercut-state-laws-2.html,2026-03-20,Regulation,7,The proposed framework aims to repeal current AI executive orders and establish a deregulatory federal standard to preempt state laws and prioritize rapid domestic technological development.,2026-05-24 14:02
Monitoring employee AI use ? Have an AI policy ? The SEC will ask,https://www.financial-planning.com/news/monitoring-employee-ai-use-have-an-ai-policy-the-sec-will-ask,2026-03-11,Regulation,5,The SEC is intensifying oversight of financial firms by scrutinizing their internal AI policies and monitoring how employees utilize artificial intelligence tools for business operations.,2026-05-24 14:02
Economia e finanza dai giornali united states - Borsa Italiana,https://www.borsaitaliana.it/borsa/notizie/radiocor/finanza/dettaglio/economia-e-finanza-dai-giornali-usa-nRC_23032026_1352_361755078.html,2026-03-23,Corporate,2,"This report summarizes current United States economic and financial news, focusing on market trends and corporate developments without introducing new AI-specific regulatory frameworks.",2026-05-24 14:02
The White House just laid out how it wants to regulate AI,https://edition.cnn.com/2026/03/20/tech/white-house-ai-framework,2026-03-20,Regulation,6,"The White House issued an executive order establishing new standards for AI safety, security, and federal oversight to manage risks while promoting innovation.",2026-05-24 14:02
"Louisiana scraps some , but not all , AI proposals after Trump threats",https://www.fox8live.com/2026/04/02/louisiana-scraps-some-not-all-ai-proposals-after-trump-threats/,2026-04-02,Regulation,3,"Louisiana legislators retracted several AI regulatory bills following political pressure, while maintaining specific proposals targeting deepfakes and election-related misinformation.",2026-05-24 14:02
SA AI policy moves to comment phase,https://www.itweb.co.za/article/sas-ai-policy-moves-to-comment-phase/P3gQ2qGA5wx7nRD1,2026-04-05,Regulation,0,,2026-05-24 14:02
The White House just laid out how it wants to regulate AI - LocalNews8 . com,https://localnews8.com/money/cnn-business-consumer/2026/03/20/the-white-house-just-laid-out-how-it-wants-to-regulate-ai/,2026-03-20,Regulation,6,The White House issued an executive order establishing new safety and security standards for artificial intelligence development to manage risks while promoting innovation across federal agencies.,2026-05-24 14:02
OpenAI Pledged $10 Million in Secret Funding Are Age Verification Laws Really About Kids or PR ?,https://www.ibtimes.co.uk/openai-10-million-pledge-child-safety-bill-transparency-concerns-1789887,2026-04-02,Regulation,0,,2026-05-24 14:02
Why is Sriram Krishnan joining NEC AI role ?,https://alltoc.com/tech/why-is-sriram-krishnan-joining-nec-ai-role,2026-03-31,Corporate,2,Sriram Krishnan's appointment to NEC's AI leadership signifies a strategic corporate move to strengthen the company's global artificial intelligence initiatives and technological positioning.,2026-05-24 14:02
Government publishes draft AI policy for public comment,https://www.georgeherald.com/News/Article/National-News/government-publishes-draft-ai-policy-for-public-comment-202604170846,2026-04-17,Regulation,5,The South African government has released a draft National Artificial Intelligence Policy to establish a regulatory framework and promote ethical AI development across the country.,2026-05-24 14:02
Donald Trump Delays Major AI Executive Order,https://www.realitytea.com/2026/05/22/donald-trump-delays-ai-executive-order-white-house/,2026-05-22,Regulation,6,The delay of a significant executive order on artificial intelligence postpones the establishment of national guidelines and regulatory frameworks for AI development and safety.,2026-05-24 14:02
Anthropic Dario Amodei Says AI Giant Has More In Common Than Not With Pentagon,https://www.forbes.com/sites/richardnieva/2026/03/05/anthropics-ceo-is-contrite-in-latest-response-to-department-of-war/,2026-03-06,Corporate,4,"Anthropic CEO Dario Amodei signals closer alignment with the Pentagon, highlighting a strategic shift toward integrating private AI development with national security and defense priorities.",2026-05-24 14:02
What Is Going On With AST SpaceMobile Stock On Wednesday ? - AST SpaceMobile ( NASDAQ : ASTS ),https://www.benzinga.com/markets/tech/26/03/51195764/what-is-going-on-with-ast-spacemobile-stock-on-wednesday,2026-03-11,Corporate,1,"The article reports on the stock market performance of AST SpaceMobile, focusing on corporate financial activity rather than any specific regulatory or legislative policy changes.",2026-05-24 14:02
California Executive Order Expands AI Oversight Through State Procurement | Morgan Lewis,https://www.jdsupra.com/legalnews/california-executive-order-expands-ai-2762921/,2026-04-30,Regulation,5,"California's executive order leverages state procurement power to establish safety guidelines, risk assessments, and oversight for generative AI technologies used by state agencies.",2026-05-24 14:02
Lessons from America AI policy,https://tribune.com.pk/story/2602440/lessons-from-americas-ai-policy,2026-04-13,Regulation,7,"The article analyzes the US Executive Order on AI, highlighting its role in establishing safety standards and risk management frameworks to guide global and national governance.",2026-05-24 14:02
How people are reacting to OpenAI 13 - page policy paper on AI superintelligence,https://fortune.com/2026/04/06/sam-altman-says-ai-superintelligence-is-so-big-that-we-need-a-new-deal-critics-say-openais-policy-ideas-are-a-cover-for-regulatory-nihilism/,2026-04-06,Regulation,0,,2026-05-24 14:02
What President Trump AI Executive Order 14365 Means For Employers - New Technology,https://www.mondaq.com:443/unitedstates/new-technology/1772074/what-president-trumps-ai-executive-order-14365-means-for-employers,2026-04-13,Regulation,0,,2026-05-24 14:02
Sam Altman big pitch to fix the big AI mess sounds like Jamie Dimon : a 4 - day workweek and a big new tax on rich people like him,https://fortune.com/2026/04/06/sam-altmans-capital-gains-taxes-4-day-workweek/,2026-04-06,Corporate,3,Sam Altman proposes a four-day workweek and increased taxes on the wealthy to address economic disruptions and labor shifts caused by rapid artificial intelligence advancement.,2026-05-24 14:02
Anthropic sues Defense Department as feud with Trump administration escalates,https://finance.yahoo.com/news/anthropic-sues-defense-department-as-feud-with-trump-administration-escalates-184256310.html,2026-03-09,Regulation,5,Anthropic's lawsuit against the Defense Department marks a significant legal escalation over government AI procurement and oversight policies under the current administration.,2026-05-24 14:02
"Battle for AI Governance : White House Plan to Centralize AI Regulation and State Continuous Opposition | Vorys , Sater , Seymour and Pease LLP",https://www.jdsupra.com/legalnews/battle-for-ai-governance-white-house-s-4333521/,2026-04-28,Regulation,6,"The White House aims to centralize AI oversight through federal mandates, encountering significant resistance from states asserting their own regulatory authority over artificial intelligence technologies.",2026-05-24 14:02
Build American AI Leamer : AI Jobs Are Reindustrializing Middle America,https://www.breitbart.com/politics/2026/05/14/exclusive-build-american-ais-nathan-leamer-ai-diffusing-technology-from-silicon-valley-enables-us-to-bring-jobs-back-into-the-reindustrializing-of-middle-america/,2026-05-15,Corporate,3,"The article examines how AI-driven industrialization is creating jobs in Middle America, suggesting a shift toward domestic technology-led economic revitalization.",2026-05-24 14:02
"As the US midterms approach , AI is going to emerge as a key issue concerning voters | Nathan E Sanders and Bruce Schneier",https://www.theguardian.com/commentisfree/2026/mar/24/midterm-elections-ai-voters,2026-03-24,Regulation,5,"The article highlights how AI-driven misinformation and influence operations are becoming central political issues, necessitating new regulatory frameworks to protect democratic integrity during US elections.",2026-05-24 14:02
"Josh Hawley Urges GOP To Stop Being  Property of Big Tech , Reject Funding From Pro - AI Groups :  There Wil",https://www.benzinga.com/news/politics/26/04/51998222/josh-hawley-urges-gop-to-stop-being-property-of-big-tech-reject-funding-from-pro-ai-groups-there-will-be-a-political-cost,2026-04-23,Regulation,3,Senator Josh Hawley urged the Republican Party to reject funding from pro-AI groups and Big Tech to ensure independent oversight and stricter regulation of the industry.,2026-05-24 14:02
Mile ‑ High machine learning : New policy framework would significantly alter Colorado AI Act | Hogan Lovells,https://www.jdsupra.com/legalnews/mile-high-machine-learning-new-policy-3827685/,2026-03-24,Regulation,6,"A proposed policy framework aims to significantly modify the Colorado AI Act, impacting how high-risk artificial intelligence systems are regulated and governed within the state.",2026-05-24 14:02
